Document Information,Contact Information,Permit Information,Property Information,Decision Basis,Included Documents,Granted Exemptions,Building regulations and requirements,Statistics for HmbTG Implementation,URL (link to PDF),Request ID,Residential,Commercial,Other,Time for Decision (months),Number of Full Stories,Exceeded Building Boundary (meters),Exceeded Floor Area Ratio,Number of Exemptions,Permit Type,Issuing Authority,Type of Construction,Number of Documents,building function + requirements,Parcel code 1,Parcel code 2+,District,Building block,Unnamed: 28,Development plan/ implementation plan
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: December 19, 2018
Modification Date: December 28, 2018","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Altona
Department: Dezernat Wirtschaft, Bauen und Umwelt, A/WBZ2 Fachamt Bauprüfung
Address: Jessenstraße 1 - 3, 22767 Hamburg
Telephone: 040 - 4 28 11 - 63 63
Telefax: 040 - 427 9 02570
Email: Zentrum-Wirtschaft-Bauen-Umwelt@altona.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: A/WBZ/05069/2018
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: June 25, 2018
Issue Date: December 19, 2018
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 220-030, Flurstücke 768, 6580 in the Gemarkung Osdorf
Project Description: Neubau Einfamilienhaus (New Single-Family House)","Decision Basis:
Bebauungsplan: Lurup 13 (approved on September 1, 1964)
Regulations:
Type: WR I o
Building Depth: 15 m
GRZ: 0.4
GFZ: 0.4
Additional Regulations: BauNVO (June 26, 1962)","Documents Included:
Application
Fee Form
Building Description
Building Class Determination
Cadastre Extract
Calculation of Enclosed Space
Application/Justification for Exemption
Site Plan
Site Plan/Setback Areas
Basement Floor Plan
Ground Floor Plan
Roof Floor Plan
Section A-A
Elevation Views (Northeast, Southwest, Northwest, Southeast)
Calculation of Built Area, GRZ, GFZ
Story Calculation
Living Space Calculation
Usable Area Calculation","Granted Exemptions:
Exceeding the Building Boundary:
Exceeded by: 3.83 m (2.50 m building plus 1.33 m balcony)
Justification: The exemption is urbanistically justifiable.
Exceeding the Allowable Floor Area Ratio:
Exceeded by: 0.03, resulting in a total of 0.43
Justification: The exemption is urbanistically justifiable.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus8,1,1,0,0,6.0,1,3.83,0.03,2,Simplified,Altona,New Construction,19.0,WR I o,6580.0,,Osdorf,,,"Lurup 13 (established on September 1st, 1964)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 24, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Altona
Department: Dezernat Wirtschaft, Bauen und Umwelt, A/WBZ2 Fachamt Bauprüfung
Address: Jessenstraße 1 - 3, 22767 Hamburg
Telephone: 040 - 4 28 11 - 63 63
Telefax: 040 - 427 9 02570
Email: Zentrum-Wirtschaft-Bauen-Umwelt@altona.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: A/WBZ/00709/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: January 16, 2020
Issue Date: July 24, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 220-019, Flurstücke 5578, 5579 in the Gemarkung Lurup
Project Description: Neubau Mehrfamilienhäuser, Kleiberweg 125","Decision Basis:
Development Plan: Durchführungsplan 391 B
Regulations:
Type: Fläche für besondere Zwecke (Sportplatz)
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Application
List of Changes
Description of Construction Measures
Building Description
Applications/Justifications for Exemptions
Floor Plans (Basement, Ground Floor, Upper Floors)
Sections
Elevation Views
Fire Protection Proofs
Cadastre Extracts
Open Space Plan
Structural Calculation","Granted Exemptions:
Deviation from § 37 (3) HBauO (Smoke Ventilation for Elevator through Necessary Staircase):
Justification: The deviation is granted; it is fire protection technically justifiable and described as permissible in the building inspection service.
Deviation from § 15 (2) GarVo (Distance to Necessary Staircase/Exit):
Justification: The deviation is granted; there are no fire protection technical concerns as the garage is clear and has additional exits.
Not Granted Exemptions:
Deviation from § 10 HBauO (Children's Play Area Size):
Justification: The deviation is not granted; it is not justifiable as families with children could move in at any time.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: Modification, Change of Use
Type of Requested Facility: Building, Building Class 3
Type of Building by Future Use: Pure Residential Building",https://suche.transparenz.hamburg.de/dataset/neubau-mehrfamilienhaeuser-kleiberweg-125,2,1,0,0,6.1,3,,,2,Simplified,Altona,New Construction,28.0,WR I o,5578.0,,Lurup,,,391 B (implementation plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 24, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Altona
Department: Dezernat Wirtschaft, Bauen und Umwelt, A/WBZ2 Fachamt Bauprüfung
Address: Jessenstraße 1 - 3, 22767 Hamburg
Telephone: 040 - 4 28 11 - 63 63
Telefax: 040 - 427 9 02570
Email: Zentrum-Wirtschaft-Bauen-Umwelt@altona.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: A/WBZ/00709/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: January 16, 2020
Issue Date: July 24, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 220-019, Flurstücke 5578, 5579 in the Gemarkung Lurup
Project Description: Neubau Mehrfamilienhäuser, Kleiberweg 125","Decision Basis:
Development Plan: Durchführungsplan 391 B
Regulations:
Type: Fläche für besondere Zwecke (Sportplatz)
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Application
List of Changes
Description of Construction Measures
Building Description
Applications/Justifications for Exemptions
Floor Plans (Basement, Ground Floor, Upper Floors)
Sections
Elevation Views
Fire Protection Proofs
Cadastre Extracts
Open Space Plan
Structural Calculation","Granted Exemptions:
Deviation from § 37 (3) HBauO (Smoke Ventilation for Elevator through Necessary Staircase):
Justification: The deviation is granted; it is fire protection technically justifiable and described as permissible in the building inspection service.
Deviation from § 15 (2) GarVo (Distance to Necessary Staircase/Exit):
Justification: The deviation is granted; there are no fire protection technical concerns as the garage is clear and has additional exits.
Not Granted Exemptions:
Deviation from § 10 HBauO (Children's Play Area Size):
Justification: The deviation is not granted; it is not justifiable as families with children could move in at any time.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: Modification, Change of Use
Type of Requested Facility: Building, Building Class 3
Type of Building by Future Use: Pure Residential Building",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses-mit-tiefgarage,3,1,0,0,6.2,2,,,2,Simplified,Altona,New Construction,28.0,WR I o,2632.0,,Blankenese,,,"Blankenese (construction plan), Altona-Südwest, Ottensen, Othmarschen, Klein Flottbek, Nienstedten ... (Ordinance for the protection of parts of the landscape)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: June 23, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region West -WBZ 23-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/01564/2019
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: July 1, 2019
Issue Date: June 23, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 317-023, Flurstück 1593 in the Gemarkung Lokstedt
Project Description: Neubau eines Wohngebäudes (10 WE)","Decision Basis:
Bebauungsplan: Lokstedt 8
Regulations:
Type: WA II o
BauNutzungsverordnung from June 26, 1962","Documents Included:
Tree Report
Site Plan
Floor Plans (Basement, Ground Floor, Upper Floors, Roof)
Sections (Cross and Long)
Elevation Views (North, South, East, West)
Fire Protection Plans","Granted Exemptions:
From the Provisions of the Lokstedt 8 Development Plan for Exceeding the Rear Building Boundary by 2 m through Balconies on the 1st Floor:
Justification: The exemption is granted.
From the Provisions of the Lokstedt 8 Development Plan for Exceeding the Southern Building Boundary by 1 m through the Dormer on a Width of 4.97 m:
Justification: The exemption is granted.
Granted Building Regulation Deviations:
For Waiving the Requirement for a Continuous Necessary Staircase to the Top Attic Floor (§ 32 Abs. 1 HBauO):
Condition: Suitable signage for the escape route in the attic (staircase offset) in both directions by signs according to BGV A8/DIN 4844.
For Waiving the Requirement for a Necessary Staircase for Apartment 4 (§ 33 Abs. 1 HBauO in conjunction with § 29 Abs. 4 HBauO):
Condition:
The building must be occupied by only one family.
The basement must be separated with fire-resistant walls and a connecting door as a fire-retardant, smoke-tight, and self-closing closure (T30-RS door).
The internal staircase must be constructed as a necessary staircase according to § 32 Abs. 4 HBauO.
For Waiving the Requirement for a Necessary Staircase for Apartments 8, 9, and 10 (§ 33 Abs. 1 HBauO in conjunction with § 29 Abs. 4 HBauO):
Condition:
The main staircase as the 1st escape route must also be constructed as a necessary staircase in the top floor according to § 33 HBauO. The staircase DIN 18065 must also be observed for this upper part.
The internal staircases must be constructed as necessary staircases according to § 32 Abs. 4 HBauO.
Additional Conditions:
Construction must not begin until the following inspection items have been approved in a supplementary notice:
Structural stability: The required proof according to § 14 of the BauVorlagenVerordnung (BauVorlVO) must be submitted for inspection.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 4
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-eines-wohngebaeudes-10-we1,4,1,0,0,12.0,2,2.0,,3,Simplified,Eimsbüttel,New Construction,24.0,WA II o,1593.0,,Lokstedt,,,Lokstedt 8 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: March 10, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/07982/2019
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: June 11, 2019
Issue Date: March 10, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 515-110, Flurstück 1347 in the Gemarkung Bramfeld
Project Description: Neubau eines Einzelhauses (1 WE)","Decision Basis:
Development Plan: Baustufenplan Bramfeld
Regulations:
Type: W I o; 2/10 zul. beb. Fläche
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Floor Plans (Ground Floor, Attic, Attic Space)
Sections, Elevation Views
Site Plan
Setback Area Plan
Site Plan with GRZ Calculation","Granted Exemptions:
For Exceeding the Permissible Built Area (GRZ I) from 0.2 to 0.22:
Justification: The exemption is granted.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-1-we,5,1,0,0,9.0,1,,0.02,1,Simplified,Wandsbek,New Construction,8.0,W I o,1347.0,,Bramfeld,,,Bramfeld (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: April 26, 2023","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region Ost -WBZ 22-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/02629/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 23, 2022
Issue Date: April 26, 2023
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 318-144, Flurstück 10713 in the Gemarkung Niendorf
Project Description: Neubau eines Einzelhauses mit 2 WE","Decision Basis:
Bebauungsplan: Niendorf 36
Regulations:
Type: WR/2W I o /Einzelhaus ""E""
Roof Pitch: 45 degrees
Building Window: 12.0 m (rear), 13.5 m (front)
BauNutzungsverordnung from January 23, 1990","Documents Included:
Site Plans
Floor Plans (Ground Floor, Attic, Attic Space)
Sections, Elevation Views
Current Cadastre Extract
Open Space Plan
Tree and Shrub Inventory Plan
Tree Felling Application","Granted Exemptions:
Exemptions under § 6 Hamburg Tree Protection Ordinance for Felling and Pruning:
Felling:
Nr. 2: Juniper, StD 25 cm
Nr. 7: Walnut, StD 15 cm (tree group)
Nr. 8: Juniper, StD 25 cm (tree group)
Nr. 9: Juniper, StD 20 cm (tree group)
Nr. 10: Juniper, StD 20 cm (tree group)
Clearance:
Nr. 3: Privet, length 26.00 m
Nr. 5: Privet, length 18.00 m
Nr. 6: Privet, length 16.00 m
Nr. 7: Arborvitae, length 16.00 m
Hedge Cutting:
Nr. 1: Privet, length 30.00 m
Justification: The specified vegetation is located within the construction site and cannot be preserved during the project implementation.
Additional Conditions:
Structural Stability: Required proof according to § 14 of the BauVorlagenVerordnung (BauVorlVO) must be submitted for inspection.
Natural Conservation Requirements:
Replanting: 7 trees as replacements for the removed vegetation, with specified standards for planting and maintenance.
Protection of existing vegetation during construction according to specified guidelines (e.g., DIN 18920).
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-2-we2,6,1,0,0,5.0,1,,,1,Simplified,Eimsbüttel,New Construction,17.0,WR I o,10713.0,,Niendorf,,,Niendorf 36 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 14, 2018","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Harburg
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung
Address: Harburger Rathausforum 2, 21073 Hamburg
Telephone: 040 - 4 28 71 - 0
Telefax: 040 - 4 27 90 - 76 45
Email: wbz@harburg.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: H/WBZ/03737/2018
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: June 18, 2018
Issue Date: September 14, 2018
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 715-064, Flurstück 958 in the Gemarkung Fischbek
Project Description: Neubau eines Einzelhauses mit drei Wohneinheiten","Decision Basis:
Bebauungsplan: Neugraben-Fischbek 7
Regulations:
Type: Public Green Spaces, Special Construction Area
Special Area Shops (II; GRZ 0.4; GFZ 0.4); public roads, paths, squares; private green spaces; urban conservation area ""Fischbek""
BauNutzungsverordnung from June 26, 1962","Documents Included:
Floor Plans (Basement, Ground Floor, Attic)
Sections, Elevation Views
Building Description
Site Plan
Existing Site Plan
Calculation of Built Areas + GRZ
Section A-A, West View
Section B-B","Granted Exemptions:
From § 173 Abs. 1 BauGB:
Justification: The overall design concept, including requirements for roof pitch, exterior wall color, and roofing material, as well as small window designs, remains intact, ensuring the preservation of the village image as intended by the preservation order.
Condition: Light red to reddish-brown bricks must be used for the exterior wall.
Already Granted Exemptions in Preliminary Decision (GZ: H/WBZ/06846/2015 on 08.02.2016):
Planungrechtliche Befreiung nach § 31 Abs. 2 BauGB:
Justification: For the construction of a multi-family house on an area designated as ""public green space"" in the development plan NF 7.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 3
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-wohneinheiten,8,1,0,0,3.0,1,,,1,Simplified,Harburg,New Construction,12.0,WR I o,1902.0,,Ojendorf,,,"Billstedt 90 (development plan), green space plan Billstedt 90 (green space plan according to HmbNatSchG), Öjendorf-Billstedter Geest (regulation for the protection of parts of the landscape)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 5, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung, M/BP
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 4 28 54 - 34 48
Telefax: 040 - 42 79 - 01 54 1
Email: baupruefung@hamburg-mitte.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: M/BP/00142/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: January 20, 2020
Issue Date: July 5, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-152, Flurstück 1083 in the Gemarkung Kirchsteinbek
Project Description: Neubau eines Einzelhauses mit 5 Wohneinheiten","Decision Basis:
Bebauungsplan: Billstedt 14
Regulations:
Type: WR I, building boundaries, non-buildable area
BauNutzungsverordnung from June 26, 1962","Documents Included:
Setback Areas Plan, M. 1:100, from 05.03.20
System Section, M. 1:100, from 05.03.20
Floor Plans (Ground Floor, Attic), M. 1:100, from 17.02.20
Views (Northwest, Section, East, West, South), M. 1:100, from 05.03.20
Site Plan / Front Garden, 1:100 from 07.04.20
Attic Section, M. 1:100, from 13.12.2020
Cross Section 1:100 with changes from 05.03.2020
Site Plan","Granted Exemptions:
For Exceeding the Maximum Distance of 1 m to 4.60 m between Exit and Eaves in the Attic (§ 35 HBauO):
Condition:
The roof of the dormers in building class 2 must be constructed as fire-resistant (F 30) load-bearing and room-sealing component. This must be implemented in all five dormers.
A continuous fall protection must be arranged on the dormer as a maintenance platform according to DIN 18065.
A metal grating must be installed on the flat roof of the dormer to prevent slipping in wet and icy conditions (§ 3 HBauO).
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 2
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-5-wohneinheiten,9,1,0,0,5.5,1,3.6,,1,Simplified,Hamburg-Mitte,New Construction,,,1083.0,,Kirchsteinbek,,,Billstedt 14 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 7, 2014","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22 Bauprüfung Bramfeld
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 905 - 149
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/01552/2014
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: January 28, 2014
Issue Date: July 7, 2014
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 515-066, Flurstück 1019 in the Gemarkung Bramfeld
Project Description: Neubau eines 2-Familienhauses","Decision Basis:
Development Plan: Baustufenplan Bramfeld
Regulations:
Type: W1o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Cadastre Extract / Map
Site Plan
Floor Plans (Ground Floor, Attic)
Sections
Elevation Views
Building Description","Granted Exemptions:
For Exceeding the Permissible Built Area by 0.03 to 0.23:
Justification: The requirements according to § 31 Abs. 2 BauGB are met. The project is urbanistically justifiable.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-2-we,10,1,0,0,5.5,1,,0.03,1,Simplified,Wandsbek,New Construction,10.0,W1 o,1019.0,,Bramfeld,,,Bramfeld (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 17, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 23
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 54 89
Email: wbz23@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/16855/2019
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 28, 2019
Issue Date: September 17, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 526-224, Flurstück 7069 in the Gemarkung Alt-Rahlstedt
Project Description: Neubau eines Einzelhauses mit 2 Wohneinheiten","Decision Basis:
Bebauungsplan: Rahlstedt 91
Regulations:
Type: WR; I; o; 2W; E; GRZ 0.2; GFZ 0.3
BauNutzungsverordnung from September 15, 1977, in the version from December 19, 1986","Documents Included:
Ground Floor Plan
Site Plan 1:200
Attic Floor Plan
Attic Space Plan
Section Plan
Elevation Views (Northeast, Southwest, Northwest, Southeast)
Environmental Impact Assessment
Open Space Plan
Tree Felling Application
Compensation Value Calculation","Granted Exemptions:
Exemption under § 4 of the Tree Protection Ordinance and § 39 Abs. 5 BNatSchG:
Allowed Actions:
Felling of 3 Sandbirken (Nr. 5, 6, 7)
Felling of Red Beech (Nr. 1, 2), Norway Maple (Nr. 3), and Red Spruce (Nr. 4)
Felling of Red Beech (Nr. 11, 12), Columnar Poplar (Nr. 13), and Cherry Plum (Nr. 14)
Crown reduction and root cutting for Walnut (Nr. 9) and other specified trees
Additional Conditions:
Tree Preservation: Other protected trees must be preserved and protected according to DIN 18920 and environmental regulations throughout the construction process.
Replacement Planting:
Planting of 7 medium to large native deciduous trees (species specified)
Dense planting of native shrubs along property borders
Compensation Payment: An amount of €9,000 for nature conservation measures
Tree Protection Plan: Compliance with tree protection guidelines and appointment of a certified arborist to oversee tree protection measures
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 2
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-m-2-we,11,1,0,0,10.0,1,,0.03,1,Simplified,Wandsbek,New Construction,11.0,WR I o,7069.0,,Alt-Rahlstedt,,,Rahlstedt 91 (development plan)
