Document Information,Contact Information,Permit Information,Property Information,Decision Basis,Included Documents,Granted Exemptions,Building regulations and requirements,Statistics for HmbTG Implementation,URL (link to PDF),Request ID,Residential,Commercial,Other,Time for Decision (months),Number of Full Stories,Exceeded Building Boundary (meters),Exceeded Floor Area Ratio,Number of Exemptions,Permit Type,Issuing Authority,Type of Construction,Number of Documents,building function + requirements,Parcel code 1,Parcel code 2+,District,Building block,Development plan/ implementation plan
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 28, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung, WBZ 2
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz2@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/09848/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: July 8, 2022
Issue Date: November 28, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 518-010, Flurstücke 259 in the Gemarkung Sasel
Project Description: Neubau eines Einzelhauses aus 2 Gebäuden (2WE)","Decision Basis:
Development Plan: Baustufenplan Sasel
Regulations:
Type: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Floor Plans (Basement, Ground Floor, Attic)
Section A-A
Elevation Views (South-East, North-East, South-West, North-West)
Site Plan","Granted Exemptions:
Ausübung des Ermessens:
The project integrates within the existing building lines of the surrounding area as per § 34 BauGB.
The project aligns with the front building lines of neighboring buildings.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 2
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-aus-2-gebaeuden-2we,12,1,0,0,4.5,1,,,0,Simplified,Wandsbek,New Construction,9.0,W1 o,259.0,,Sasel,,Sasel (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 23, 2019","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung, M/BP
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 4 28 54 - 34 48
Telefax: 040 - 42 79 - 01 54 1
Email: baupruefung@hamburg-mitte.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: M/BP/01510/2019
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: August 5, 2019
Issue Date: September 23, 2019
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-266, Flurstück 01899 in the Gemarkung Öjendorf
Project Description: Neubau eines Einzelhauses mit zwei Wohneinheiten ohne Terrassen","Decision Basis:
Development Plan: Bebauungsplan Billstedt 90
Regulations:
Type: WR I o; 2 Wo; E zwingend; GRZ: 0.3, Baugrenzen, vorgesehene Versickerungsfläche
BauNutzungsverordnung from January 23, 1990
Grünordnungsplan Billstedt 90
Baugesetzbuch","Documents Included:
Site Plans (Green areas, Setback areas, last modified 01.08.19)
Floor Plans (Ground Floor, Attic, last modified 31.07.19)
Elevation Views (North-South, West-East, last modified 31.07.19)
Building Description (01.08.19)
Floor Area Calculation (21.08.19)
Building Description / Waiver for the construction of terraces (21.08.19)
Sections (22.08.19)
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-wohneinheiten-ohne-terrassen,15,1,0,0,1.5,1,,,0,Simplified,Hamburg-Mitte,New Construction,10.0,WR I o,1899.0,,Öjendorf,,"Billstedt 90 (development plan), green space plan Billstedt 90 (green space plan according to HmbNatSchG)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: October 13, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region West -WBZ 23-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/00322/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: February 11, 2022
Issue Date: October 13, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 320-143, Flurstück 7696 in the Gemarkung Eidelstedt
Project Description: Neubau Einfamilienhaus (rückwärtige Bebauung)","Decision Basis:
Development Plan: Bebauungsplan Eidelstedt 72
Regulations:
Type: MI III o, GRZ 0,6 / GFZ 1,2
BauNutzungsverordnung from January 23, 1990","Documents Included:
Floor Plans (Ground Floor, Upper Floor, Attic Floor)
Sections
Elevation Views (North, East, South, West)
Building Description
Sound Insulation Report
Site Plan
Cadastre Extract
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-rueckwaertige-bebauung,19,1,0,0,8.0,1,,,0,Simplified,Eimsbüttel,New Construction,9.0,MI III o,7696.0,,Eidelstedt,,Eidelstedt 72 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 25, 2015","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 24
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 52 24
Email: wbz24@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/14035/2015
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 5, 2015
Issue Date: November 25, 2015
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 523-025, Flurstück 411 in the Gemarkung Wohldorf
Project Description: Neubau Einfamilienhaus mit Carport","Decision Basis:
Development Plan: Bebauungsplan Wohldorf-Ohlstedt 18
Regulations:
Type: WR IIo 2 WE GRZ 0,2 E zwingend F mind. 1250m²
BauNutzungsverordnung from June 26, 1962","Documents Included:
Lageplan
Floor Plans (Basement, Ground Floor, Upper Floor)
Sections
Elevation Views (North, East, South, West)
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-mit-carport,22,1,0,0,1.0,1,,0.2,0,Simplified,Wandsbek,New Construction,8.0,WR II o,411.0,,Wohldorf,,Wohldorf-Ohlstedt 18 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: March 10, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region Ost -WBZ 22-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/03377/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 24, 2020
Issue Date: March 10, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 318-075, Flurstück 2622 in the Gemarkung Niendorf
Project Description: Neubau Einfamilienhaus mit Einliegerwohnung","Decision Basis:
Development Plan: Bebauungsplan Niendorf 24
Regulations:
Type: WR max II, 15 m Bautiefe
BauNutzungsverordnung from June 26, 1962","Documents Included:
Lageplan
Setback Areas Plan
Floor Plans (Ground Floor, Attic Floor)
Elevation Views (North-East & North-West, South-East & South-West)
Sections (A-A, B-B, C-C)
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.
Bauordnungsrechtliche Auflagen und Hinweise:
Notification of Construction Start: Must be communicated to the building authority at least one week before commencement using the online form.
Notification of Intended Use: Must be communicated to the building authority at least two weeks before intended use.
Additional Information: Further details available at the provided link.
Demolition Excluded: Demolition of the existing building is not included in this permit.
Separate Application for Demolition of Residential Space: Must be submitted to the housing protection authority.
Gardening Design: The front garden must be landscaped, and sealing should not exceed 30% of the total area.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-mit-einliegerwohnung,23,1,0,0,3.5,2,,,0,Simplified,Eimsbüttel,New Construction,9.0,WR II,2622.0,,Niendorf,,Niendorf 24 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: August 28, 2014","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Bergedorf
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung - B/WBZ 2
Address: Wentorfer Straße 38a, 21029 Hamburg
Telefax: 040 - 4 279 06 - 047
Email: Baupruefung@bergedorf.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: B/WBZ/02815/2014
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: July 22, 2014
Issue Date: August 28, 2014
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 607-019, Flurstück 010056 in the Gemarkung Kirchwerder
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Kirchwerder 17 / Ochsenwerder 8
Regulations: MD I o, 2 Wo, GRZ 0.3, (G), E, F mind. 600 m²
BauNutzungsverordnung from January 23, 1990","Documents Included:
Lageplan
Lageplan / Abstandflächen
Grundriss / Erdgeschoss
Grundriss / Dachgeschoss
Schnitt A-A, Vollgeschossigkeitnachweis
Ansicht",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Other Approvals: The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Residential Building
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-eine-einfamilienhauses,27,1,0,0,1.5,2,,,0,Simplified,Bergedorf,New Construction,7.0,MD I o,10056.0,,Kirchwerder,,Kirchwerder 17 / Ochsenwerder 8 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: February 22, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/15591/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 4, 2020
Issue Date: February 22, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 515-084, Flurstücke 1245, 1246 in the Gemarkung Bramfeld
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Farmsen-Berne 3 / Bramfeld 29
Regulations: WA II o, Baufeldtiefe 20m
BauNutzungsverordnung from June 26, 1962","Documents Included:
Grundriss / Erdgeschoss
Schnitt AA
Ansichten Norden + Osten
Ansichten Süden + Westen
Berechnung / Grundflächenzahl
Lageplan
Abstandsflächenplan",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Other Approvals: The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses78,28,1,0,0,3.5,1,,,0,Simplified,Wandsbek,New Construction,7.0,WA II o,1245.0,,Bramfeld,,Farmsen-Berne 3/ Bramfeld 29 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 29, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 2
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz2@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ2/00329/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: September 20, 2022
Issue Date: November 29, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 518-022, Flurstück 1566 in the Gemarkung Sasel
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Baustufenplan Sasel
Regulations: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Lageplan
Grundriss / Erdgeschoss
Grundriss / Dachgeschoss
Schnitt
Ansicht West und Nord
Ansicht Ost und Süd",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority at least one week before commencement using the online form.
Notification of Intended Use: Must be communicated to the building authority at least two weeks before intended use.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Planungsrechtliche Grundlagen:
The project integrates with the surrounding area in terms of the buildable property area and does not impair the townscape according to § 34 BauGB.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses100,29,1,0,0,2.5,1,,,0,Simplified,Wandsbek,New Construction,7.0,W1 o,1566.0,,Sasel,,Sasel (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: May 18, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/19270/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: December 17, 2021
Issue Date: May 18, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 514-069, Flurstück 1815 in der Gemarkung Farmsen
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Baustufenplan Farmsen
Regulations: S 1o ist funktionslos, Beurteilung gem. 34 BauG, 22.10.2014 (RA 15)
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Lageplan
Grundriss EG+OG
Schnitt, Ansicht S+W
Ansicht N+O
Plan Vollgeschossflächen 1. OG
Lageplan GRZ Nachweis
Lageplan Neubau",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority at least one week before commencement using the online form.
Notification of Intended Use: Must be communicated to the building authority at least two weeks before intended use.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses92,31,1,0,0,5.0,1,,,0,Simplified,Wandsbek,New Construction,7.0,S 1 o,1815.0,,Farmsen,,Farmsen (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: April 9, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 21
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz21@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/01503/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: January 28, 2021
Issue Date: April 9, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 513-007, Flurstück 3042 in der Gemarkung Tonndorf
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Tonndorf 24
Regulations: WR I o; 2W; ED
BauNutzungsverordnung from September 15, 1977
Protected Landscape Area: Wandsbeker Geest","Documents Included:
Grundriss / Erdgeschoss (12/6)
Grundriss / Dachgeschoss (12/7)
Schnitt 1 (12/8)
Ansicht S+O (12/10)
Ansicht N+W (12/11)
Lageplan (12/20)
Abstandsflächenplan (12/21)",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses83,33,1,0,0,2.5,1,,,0,Simplified,Wandsbek,New Construction,7.0,WR I o,3042.0,,Tonndorf,,"Tonndorf 24 (development plan), Wandsbeker Geest (regulation for the protection of parts of the landscape)"
